mode,test id,chunk gap,epochs current,epochs,n_split_server,n_combiner_server,used chunk num,used data length,used data shape,cache time,processing time
1,2,0.002,11,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.616,0.078
1,2,0.002,11,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,11,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,12,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.605,0.006
1,2,0.002,12,50,1,1,0,16384,"[64.0, 256]",0.0,0.071
1,2,0.002,12,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,13,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.604,0.006
1,2,0.002,13,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,13,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,14,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.616,0.007
1,2,0.002,14,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,14,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,15,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.623,0.006
1,2,0.002,15,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,15,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,16,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.61,0.006
1,2,0.002,16,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,16,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,17,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.615,0.006
1,2,0.002,17,50,1,1,0,16384,"[64.0, 256]",0.0,0.071
1,2,0.002,17,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,18,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.607,0.006
1,2,0.002,18,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,18,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,19,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.622,0.08
1,2,0.002,19,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,19,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,20,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.61,0.006
1,2,0.002,20,50,1,1,0,16384,"[64.0, 256]",0.0,0.071
1,2,0.002,20,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,21,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.622,0.006
1,2,0.002,21,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,21,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,22,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.636,0.006
1,2,0.002,22,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,22,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,23,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.615,0.078
1,2,0.002,23,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,23,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,24,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.655,0.006
1,2,0.002,24,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,24,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,25,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.615,0.006
1,2,0.002,25,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,25,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,26,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.621,0.074
1,2,0.002,26,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,26,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,27,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.609,0.08
1,2,0.002,27,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,27,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,28,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.602,0.006
1,2,0.002,28,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,28,50,1,1,0,4096,"[64.0, 64]",0.0,0.072
1,2,0.002,29,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.607,0.006
1,2,0.002,29,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,29,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,30,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.616,0.006
1,2,0.002,30,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
1,2,0.002,30,50,1,1,0,4096,"[64.0, 64]",0.0,0.001
1,2,0.002,31,50,1,1,768,1,"[0.0003255208333333333, 3072]",1.629,0.077
1,2,0.002,31,50,1,1,0,16384,"[64.0, 256]",0.0,0.001
