epochs,current_epochs,test_id,mode,chunk_gap,n_split_client,n_split_vnf0,n_split_vnf1,n_split_vnf2,n_split_server,n_combiner_client,n_combiner_vnf0,n_combiner_vnf1,n_combiner_vnf2,n_combiner_server,transmision_time,service_time
10,8,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.633,4.633
10,9,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.584,4.5836
10,10,3,0,0.01,1,1,1,1,1,1,1,1,1,1,4.565,4.5696
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,55.665,55.6648
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.766,0.7662
10,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.069,1.0693
10,4,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.101,1.1014
10,5,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.024,1.0243
10,6,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.073,1.0729
10,7,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.028,1.0281
10,8,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.424,1.4239
10,9,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.163,1.1632
10,10,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.24,1.2402
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,50.519,50.5192
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.772,0.7722
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,51.738,51.7383
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.798,0.7985
10,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.202,1.2024
10,4,3,0,0.002,1,1,1,1,1,1,1,1,1,1,1.24,1.2397
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,2,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,3,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,3,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,1,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,2,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,3,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,4,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,5,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,6,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,7,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,8,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,9,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
10,10,5,0,0.002,1,1,1,1,1,1,1,1,1,1,0.0,0.0
